auth,cata,name,model,count,accessories,other_accessories,deposit,status,
,教室配備,R507 短焦投影機,Epson(EB-530),1,電源線、遙控器、HDMI線*1、VGA線*1、簡報筆*1,,"$2,000",,
,教室配備,R508 長焦投影機,Epson(EB-1985WU),1,電源線、遙控器、HDMI線*1、VGA線*1、簡報筆*1,,"$2,000",,
,教室配備,R505 簡報筆(紅),Logitech R400,,-,,,,
,教室配備,R506 簡報筆(銀),Logitech R400,,-,,,,
,教室配備,R506 簡報筆(黃),Logitech R400,,-,,,,
,教室配備,R508 簡報筆(綠),Logitech R400,,-,,,,
,教室配備,R505 米波羅(紅),MA-303DB(6C),1,電源線(電源供應器)、音源線*1、麥克風*1,遙控器,"$2,000",,
,教室配備,R507 米波羅(黃),MA-303DB(6C),1,電源線(電源供應器)、音源線*1、麥克風*1,遙控器,"$2,000",,
,教室配備,R508 米波羅(綠),MA-303DB(6C),1,電源線(電源供應器)、音源線*1、麥克風*1,遙控器,"$2,000",,
,教室配備,R505 Mini DP轉接頭,Mini DP轉HDMI,1,-,,,,
,教室配備,R506 Mini DP轉接頭,Mini DP轉HDMI,1,-,,,,
,教室配備,R507 Mini DP轉接頭,Mini DP轉HDMI,1,-,,,,
,教室配備,R508 Mini DP轉接頭,Mini DP轉HDMI,1,-,,,,
,教室配備,R505 音源線(紅),-,1,-,,,,
,教室配備,R507 音源線(黃),-,1,-,,,,
,教室配備,R508 音源線(綠),-,1,-,,,,
,投影機/ 配件,微投投影機,QUMI(Q3PLUS-BK),1,收納袋、電源線(電源供應器)、HDMI線(1M)、遙控器,,"$2,000",,
,投影機/ 配件,簡報筆,Logitech R400,,無,,,,
,擴音器/ 配件,攜帶式擴音機,MA-100SB(6C),1,電源線(電源供應器)、音源線*1、麥克風*1,遙控器,"$1,000",,
,擴音器/ 配件,大型擴音機,MA-708(6A),1,電源線、AV音源線*1、麥克風*2,遙控器,"$4,000",,
,擴音器/ 配件,無線麥克風,ACT-32H(6C),2,-,,,,
,擴音器/ 配件,配戴式麥克風,ACT-32T(6C),2,-,,,1台缺少麥克風領夾,
,擴音器/ 配件,擴音機遙控器,-,5,,,,,
,擴音器/ 配件,大聲公,ER-12106,1,eneloop 4號充電電池*4、掛繩,,,,
,相機/ 攝影機/ 配件,Canon相機,G7X,1,電池(NB-13L),,"$2,000",,
,相機/ 攝影機/ 配件,Canon相機電池,NB-13L,1,-,,,,
,相機/ 攝影機/ 配件,Canon相機電池充電器,CB-2LHR,1,電源線,,,,
,相機/ 攝影機/ 配件,FUJIFILM拍立得,instax mini,2,保護殼、背帶,硬殼收納盒,"$1,000",1台全新未拆封,
,相機/ 攝影機/ 配件,360度相機,Ricoh Theta S,3,充電線、保護套、說明書,,"$2,000",,
,相機/ 攝影機/ 配件,GoPro,Hero4,3,J型活動基座、活動基座、長調節臂、短調節臂、短螺絲*2、長螺絲、Micro USB線、防水保護盒、側開型背蓋、方型平面底座、平面底座、弧面底座,塑膠鎖定插塞(防止底座脫落)*3、快拆頭部綁帶(含頭部綁帶、QuickClip<快拆夾具>、長螺絲),"$2,000",,
,相機/ 攝影機/ 配件,Sony攝影機,FDR-AX40,1,電池(NP-FV70)、包包、電源線(電源供應器)、迷你USB線、HDMI線,,"$4,000",,
,相機/ 攝影機/ 配件,Sony攝影機,HDR-PJ670,1,電池(NP-FV50)、包包、電源供應器、USB連接支援線、HDMI線,,"$3,000",,
,相機/ 攝影機/ 配件,Sony攝影機電池,NP-FV70,1,-,,,,
,相機/ 攝影機/ 配件,Sony攝影機電池,NP-FV100,1,-,,,,
,相機/ 攝影機/ 配件,Sony攝影機電池充電器,BC-QM1,1,-,,,,
,相機/ 攝影機/ 配件,腳架,BENRO(A150FBR0),1,雲台,,,,
,相機/ 攝影機/ 配件,腳架,BENRO(A300F),1,雲台,,,,
,轉接頭/ 線材,MiniPort轉接頭,MiniPort轉VGA,2,無,,,,
,轉接頭/ 線材,HDMI轉接頭,HDMI轉VGA,1,無,,,,
,轉接頭/ 線材,Type C轉接頭,Type C轉HDMI&USB,1,無,,,,
,轉接頭/ 線材,Lightning轉接頭,Lightning轉HDMI,1,無,,,,
,轉接頭/ 線材,音源線,1.3m~2.5m,4,無,,,,
,轉接頭/ 線材,3.5公對母音源線,10m,1,無,,,,
,轉接頭/ 線材,3.5轉2RCA音源線,5m,1,無,,,,
,轉接頭/ 線材,3.5轉雙6.3音源線,1.6m,1,無,,,,
,轉接頭/ 線材,6.3公轉3.5母音源轉接頭,-,2,無,,,,
,轉接頭/ 線材,HDMI線,3m/ 5m/ 7m,3,無,,,,
,轉接頭/ 線材,延長線,1.2m/ 1.8m/ 3m,6,無,,,,
,轉接頭/ 線材,輪座延長線,9m,1,無,,,,
,其他,計時器,大,1,電源供應線*1,,,,
,其他,計時器,小,1,電源供應線*1,,,電源供應線遺失,
,其他,SanDisk 記憶卡,32G,1,-,,,,
,其他,Micro SD 記憶卡,32G,1,轉接卡,,,,
,其他,書寫版,A4,10,-,,,,
,電腦/ 顯示器,Acer筆電,Aspire E5-573 series,2,電源供應線*1,,,,
職員限定,相機/ 攝影機/ 配件,RICHO,GR II,1,電源供應器、USB/AV線、收納包,電池充電器,"$2,000",,
職員限定,相機/ 攝影機/ 配件,Canon單眼,EOS 7D,1,電池(LP-E6N)、Canon鏡頭(24-105mm),遮光罩(Canon/Tamron),,,
職員限定,相機/ 攝影機/ 配件,Canon單眼電池,LP-E6N,1,電池保護蓋,,,,
職員限定,相機/ 攝影機/ 配件,Canon單眼電池充電器,DS510102,1,電源線,,,,
職員限定,相機/ 攝影機/ 配件,Canon單眼相機包,Case Logic,1,-,,,,
職員限定,相機/ 攝影機/ 配件,TAMRON鏡頭,17-50mm,1,-,,,,
職員限定,相機/ 攝影機/ 配件,Canon鏡頭,50mm,1,-,,,,
職員限定,相機/ 攝影機/ 配件,Canon閃光燈,600EX II-RT,1,保護蓋,,,,
職員限定,相機/ 攝影機/ 配件,GoPro功能手持桿,支架,1,長螺絲*1,,,,
職員限定,相機/ 攝影機/ 配件,GoPro軟管鯊魚夾,夾具,1,固定夾具*1、鵝頸延長桿*1,,,,
職員限定,相機/ 攝影機/ 配件,Canon攝影機,XA35,1,電源線(CA-570電源供應器)、電池(BP-820)、收音手把(HDU-1)、麥克風支架、附鏡頭檔板遮光罩、無線遙控器(附CR2025鈕扣電池、HDMI線、AV線、USB線),,,,
職員限定,相機/ 攝影機/ 配件,Canon攝影機電池,BP-828,1,電池保護蓋,,,,
職員限定,相機/ 攝影機/ 配件,Ace腳架,1002,1,雲台、控制手柄,,"$3,000",,
職員限定,相機/ 攝影機/ 配件,Mini Mic,Sennheiser AVX-ME2 set,1,接插式接收機(EKP AVX)、腰包發射機(SK AVX)、ME2微型領夾麥、麥克風領夾、電池盒、USB充電器、USB充電線、熱靴座腰帶夾、XLR-3.5mm插頭連接線、收納袋,,,,
職員限定,其他,對講機,MTS(VU280),7,無,,,,
職員限定,其他,無人機,DJI(Phantoma 3),2,無,,,,
職員限定,其他,VR,Google Cardboard,1,無,,,,
職員限定,其他,投影幕,F100NWV,1,保護套,,,,
職員限定,電腦/ 顯示器,Suface筆電,Microsoft,1,可拆式鍵盤*1、電源供應線*1,手寫筆*1,,,
職員限定,電腦/ 顯示器,直立式顯示器,ONLYFLY(WT-15501B),1,電源供應線*1、無線網卡*1,,,,
不外借,投影機/ 配件,R505 短焦投影機,Epson(EB-1985WU),1,電源線、遙控器、HDMI線*1、簡報筆*1,,,R406吊掛配備，不可移動,
不外借,投影機/ 配件,R406 長焦投影機,Epson(EB-530),1,電源線、遙控器、HDMI線*1、簡報筆*1,,,R505吊掛配備，不可移動,
不外借,其他,標籤機,Epson(LW700),1,電源線(電源供應器),,,,
不外借,其他,相片印表機,Canon(CP1200),1,電源線(電源供應器),紙材(卡貼*2、卡片相片*1、卡片大頭貼*1、4X6相片紙*1)、墨水夾(卡片墨水夾*4、4X6墨水夾),,,
不外借,其他,A3護貝機,International(IL320),1,無,耗材(A4/A3護貝膜),,,
不外借,其他,電子琴,KAWAi(ES 8),1,電源線(PS-154 含電源供應器)、大琴譜架(塑膠),單支腳踏板、小琴譜鋼架、耳罩式耳機,,,
不外借,其他,爵士鼓組,,1,無,,,,
不外借,電腦,MacBook Pro,"13"" Retina",2,電源供應線*1,,,建成、孟芳(Early 2015)使用中,
不外借,電腦,iMac Pro,"27"" 5K Retina",2,電源供應線*1,,,靜怡(Late 2015)、珮如使用中,
不外借,電腦,MacBook Pro,"15"" Retina",1,電源供應線*1,,,迴響計畫使用中,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
